id,latitude,longitude,time,type
10109,31.28091567086059,121.47091644700755,2007-11-01 00:01:00,aligned
10109,31.280742304340688,121.4708820825971,2007-11-01 00:20:00,aligned
10109,31.28053,121.47083999999944,2007-11-01 00:33:00,aligned
10109,31.27877,121.47202,,vertex
10109,31.27957,121.47065,,vertex
10109,31.279959999999846,121.4728499999996,2007-11-01 00:53:00,aligned
10109,31.27957,121.47065,,vertex
10109,31.27877,121.47202,,vertex
10109,31.28053,121.47083999999944,2007-11-01 00:54:00,aligned
10109,31.27877,121.47202,,vertex
10109,31.27957,121.47065,,vertex
10109,31.28024000000005,121.47305,2007-11-01 00:58:00,aligned
10109,31.28502,121.47173,,vertex
10109,31.28462,121.47462,,vertex
10109,31.281108109840734,121.47095459192795,2007-11-01 00:59:00,aligned
10109,31.280934743320834,121.4709202275175,2007-11-01 01:00:00,aligned
10109,31.28081859418145,121.47089720463683,2007-11-01 01:06:00,aligned
10109,31.28462,121.47462,,vertex
10109,31.28502,121.47173,,vertex
10109,31.28024000000005,121.47305,2007-11-01 01:07:00,aligned
10109,31.28502,121.47173,,vertex
10109,31.28462,121.47462,,vertex
10109,31.28083766664169,121.47090098514677,2007-11-01 01:08:00,aligned
10109,31.28462,121.47462,,vertex
10109,31.28502,121.47173,,vertex
10109,31.28024000000005,121.47305,2007-11-01 01:09:00,aligned
10109,31.279959999999846,121.4728499999996,2007-11-01 01:10:00,aligned
10109,31.28024000000005,121.47305,2007-11-01 01:11:00,aligned
10109,31.279959999999846,121.4728499999996,2007-11-01 01:12:00,aligned
10109,31.279959999999846,121.4728499999996,2007-11-01 01:13:00,aligned
10109,31.27957,121.47065,,vertex
10109,31.27877,121.47202,,vertex
10109,31.28053,121.47083999999944,2007-11-01 01:14:00,aligned
10109,31.27877,121.47202,,vertex
10109,31.27957,121.47065,,vertex
10109,31.278770000000804,121.47202000000055,2007-11-01 01:14:00,aligned
10109,31.27877,121.47202,,vertex
10109,31.278331961381316,121.47274093856093,2007-11-01 01:16:00,aligned
10109,31.27773,121.47374,,vertex
10109,31.27822,121.47292,,vertex
10109,31.2772700000005,121.47360000000066,2007-11-01 01:16:00,aligned
10109,31.27681,121.47345,,vertex
10109,31.2769100000005,121.4734899999998,2007-11-01 01:16:00,aligned
10109,31.27159,121.47079,,vertex
10109,31.27266,121.47162,,vertex
10109,31.27341,121.47211,,vertex
10109,31.27443,121.47264,,vertex
10109,31.27615,121.47325,,vertex
10109,31.27681,121.47345,,vertex
10109,31.270580000000336,121.4697300000002,2007-11-01 01:17:00,aligned
10109,31.26665,121.46537,,vertex
10109,31.26795,121.46673,,vertex
10109,31.2694,121.46816,,vertex
10109,31.26964,121.4685,,vertex
10109,31.27028,121.46936,,vertex
10109,31.267492329897177,121.4646692577322,2007-11-01 01:18:00,aligned
10109,31.26727,121.46317,,vertex
10109,31.26569,121.46406,,vertex
10109,31.26631,121.46495,,vertex
10109,31.26665,121.46537,,vertex
10109,31.267208000000355,121.46304600000005,2007-11-01 01:19:00,aligned
10109,31.26847,121.46271,,vertex
10109,31.26785,121.46293,,vertex
10109,31.26727,121.46317,,vertex
10109,31.268408025410867,121.46255641079885,2007-11-01 01:20:00,aligned
10109,31.26788286248791,121.46126724041153,2007-11-01 01:20:00,aligned
10109,31.26744299837849,121.46023831442498,2007-11-01 01:20:00,aligned
10109,31.26731,121.45993,,vertex
10109,31.266965660513875,121.45911489057367,2007-11-01 01:21:00,aligned
10109,31.26589,121.45913,,vertex
10109,31.26666,121.45841,,vertex
10109,31.26508316513771,121.45965444954179,2007-11-01 01:21:00,aligned
10109,31.26401,121.46016,,vertex
10109,31.263857704292693,121.45977669634331,2007-11-01 01:22:00,aligned
10109,31.26239,121.45709,,vertex
10109,31.26267,121.45682,,vertex
10109,31.26278,121.45709,,vertex
10109,31.26313,121.45795,,vertex
10109,31.26375,121.45951,,vertex
10109,31.262870000000476,121.45779999999962,2007-11-01 01:22:00,aligned
10109,31.26209,121.45474,,vertex
10109,31.26267,121.45682,,vertex
10109,31.26239,121.45709,,vertex
10109,31.262109999999666,121.4558,2007-11-01 01:22:00,aligned
10109,31.261969999999565,121.45669000000038,2007-11-01 01:22:00,aligned
10109,31.25974,121.45879,,vertex
10109,31.26066,121.45842,,vertex
10109,31.259360000000015,121.45669000000038,2007-11-01 01:23:00,aligned
10109,31.26066,121.45842,,vertex
10109,31.25974,121.45879,,vertex
10109,31.26188000000002,121.457,2007-11-01 01:23:00,aligned
10109,31.26068804209051,121.45839363206436,2007-11-01 01:24:00,aligned
10109,31.25561,121.45472,,vertex
10109,31.25851,121.45475,,vertex
10109,31.25897,121.45476,,vertex
